Title,Genre,Director,Cast,Box Office in currency of  production country,Fun Fact
Superman,Superhero/Action,James Gunn,"David Corenswet, Rachel Brosnahan, Nicholas Hoult",615000000,"The first official film in the new DC Universe (DCU), rebooting the Superman film series."
Lilo & Stitch,Sci-Fi/Family,Dean Fleischer Camp,"Maia Kealoha, Sydney Agudong, Zach Galifianakis",1030000000,"Powered by nostalgia, this live-action remake became Disney's first billion-dollar movie of 2025."
A Minecraft Movie,Adventure/Comedy,Jared Hess,"Jason Momoa, Jack Black, Danielle Brooks",957000000,Successfully translated its massive video game legacy into box office gold with broad fan appeal.
Jurassic World: Rebirth,Sci-Fi/Action,Gareth Edwards,"Scarlett Johansson, Jonathan Bailey, Mahershala Ali",864000000,Continues the successful dinosaur franchise by balancing nostalgia with new thrills and characters.
How to Train Your Dragon,Fantasy/Adventure,Dean DeBlois,"Mason Thames, Nico Parker, Gerard Butler",634000000,Gerard Butler is the only actor to reprise his role as Stoick the Vast from the original animated trilogy.
F1,Sports/Drama,Joseph Kosinski,"Brad Pitt, Damson Idris, Kerry Condon",623000000,"Powered by Brad Pitt's star power and strong international appeal, especially in Europe and Asia."
Mission: Impossible ‚Äì The Final Reckoning,Action/Spy,Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Simon Pegg",598000000,Contributed to the biggest Memorial Day opening weekend in domestic box office history.
The Fantastic Four: First Steps,Superhero/Sci-Fi,Matt Shakman,"Pedro Pascal, Vanessa Kirby, Joseph Quinn, Ebon Moss-Bachrach",518000000,"Set in an alternate universe within the MCU, allowing it to feature a 1960s setting."
Captain America: Brave New World,Superhero/Thriller,Julius Onah,"Anthony Mackie, Harrison Ford, Tim Blake Nelson",415000000,"Features Harrison Ford's MCU debut as Thaddeus Ross, who becomes the Red Hulk."
Mickey 17,Sci-Fi/Drama,Bong Joon Ho,"Robert Pattinson, Steven Yeun, Naomi Ackie",350000000,"A sci-fi film from the Oscar-winning director of 'Parasite', based on the novel 'Mickey7'."
Sinners,Supernatural/Thriller,Ryan Coogler,"Michael B. Jordan, Delroy Lindo, Jack O'Connell",300000000,"Hailed by critics as a top film of the year, this vampire thriller is set in the Jim Crow South."
Black Bag,Spy/Thriller,Steven Soderbergh,"Cate Blanchett, Michael Fassbender, Reg√©-Jean Page",200000000,One of two sleek thrillers released by acclaimed director Steven Soderbergh in 2025.
Nosferatu,Gothic/Horror,Robert Eggers,"Bill Skarsg√•rd, Lily-Rose Depp, Willem Dafoe",1200000000,"A passion project for director Robert Eggers, known for his meticulous and atmospheric period films."
Thunderbolts*,Superhero/Action,Jake Schreier,"Florence Pugh, Sebastian Stan, David Harbour",550000000,"Features a team of MCU anti-heroes and reformed villains, with an asterisk in the title for a specific plot reason."
Wolf Man,Horror,Leigh Whannell,"Christopher Abbott, Julia Garner, Sam Jaeger",180000000,"Directed by Leigh Whannell, known for modern horror hits like 'The Invisible Man' and 'Upgrade'."
Elio,Animation/Sci-Fi,Adrian Molina,"Yonas Kibreab, America Ferrera, Jameela Jamil",480000000,"Pixar's major original film of the year, about a boy who is mistaken for Earth's intergalactic ambassador."
Snow White,Fantasy/Musical,Marc Webb,"Rachel Zegler, Gal Gadot, Andrew Burnap",650000000,"A live-action reimagining of the classic 1937 Disney animated film, starring Gal Gadot as the Evil Queen."
Mufasa: The Lion King,Animation/Musical,Barry Jenkins,"Aaron Pierre, Kelvin Harrison Jr., Beyonc√© Knowles-Carter",900000000,This prequel to 'The Lion King' features original songs written by Lin-Manuel Miranda.
Tron: Ares,Sci-Fi/Action,Joachim R√∏nning,"Jared Leto, Greta Lee, Evan Peters, Jeff Bridges",450000000,"Jeff Bridges, the star of the original 1982 film, returns for this third installment in the 'Tron' franchise."
The Bride!,Horror/Sci-Fi,Maggie Gyllenhaal,"Christian Bale, Jessie Buckley, Pen√©lope Cruz",not released,"A reimagining of 'The Bride of Frankenstein', this is Maggie Gyllenhaal's second film as a director."
One Battle After Another,†Comedy/Drama†,Paul Thomas Anderson,"Leonardo DiCaprio, Sean Penn, Benicio del Toro, Regina Hall, Teyana Taylor,Chase Infiniti",106000000,"ts use of vintage VistaVision for a unique high-resolution look, its major box office success making it Anderson's highest-grossing film, and the fact that the title comes from a 1969 Weather Underground statement"
Rocky Elghalaba,Action-Comedy,Ahmed al-Gendy,"Bayoumi Fouad, Donia Samir Ghanem, Mohamed Mamdouh, Mohamed Radwan, Mohammed Tharwat",58000000,"Donia Samir Ghanem swaps her trademark romance roles for a fast-paced, laugh-packed action adventure."
Darwish,Action-Comedy,Waleed El Halfawy,"Amr Youssef, Dina El Sherbiny, Tara Emad, Mohamed Shahin, Moustafa Gharieb",57829000,Set in the 1940s; a con artist gets falsely accused and dragged into fame & danger
Siko Siko,Comedy / Social Drama,Omar El Mohandes,"Essam Omar, Taha Desouky, Aly Sobhy, Bassem Samra, Khaled El Sawy, Tara Emad, Diana Hesham",188000000,"A chaotic mix of friendship, and family mess-ups ó Siko Siko brought huge laughs and topped the Eid box office with its wild humor and relatable chaos."
